dagbani,english,usage,category
A noli yi zɔri vi ni bɔhibu di wumd'a mi.,If your mouth runs from shame of asking it will hear you (suffer).,Being too shy to ask leads to problems,idiom
A yi bi ʒi ma a ku baŋ ni n timsa.,If you haven't carried me you won't know that I am heavy.,You cannot understand a burden until you experience it,idiom
A yi che soli ka dari mɔɣu goo yi ti kuhi a a ni labina.,If you leave the path and thorns pierce you will return.,Straying leads to suffering that brings you back,idiom
A yi ʒi so bee zuɣu baŋmi ni a ʒila tiŋa.,If you sit on someone's leg know that you sit on the ground.,Relying on others is an unstable foundation,idiom
A zuɣu yi viɛla a bi mal' li sɔŋdi soli ni.,If your head is good you don't put it on the road.,Good fortune should not be carelessly discarded,idiom
Bɛ yi tabiri a gbini a durila yom.,If people support your buttocks you climb quickly.,With support you achieve things faster,idiom
Bɛ yi zaŋ jɛrigu niŋ tol' ni bɛ ku tooi to jɛrilim yih' o ni.,If they put a fool in a mortar they can't pound folly out of him.,Foolishness cannot be beaten out of a person,idiom
Bia ŋun ka yaa larila o ba turi.,The child without strength laughs at his father's insults.,The weak mock others to feel stronger,idiom
Bin' ŋun bili yila ku kpe voli ni.,Whatever has horns cannot enter a hole.,Your nature limits your options,idiom
Birigu zomiya yɛla jahiya.,The deaf and dumb person has become blind; everything is spoiled.,Things have gone from bad to worse,idiom
Buŋa yi yɛn luhi a a bi nyari o tiba.,If a donkey will throw you don't see its ears.,Trouble comes without warning,idiom
Chɛli ma ka n zaŋ n nuu n-daa n nyaaŋa.,Let me use my hand to buy my back.,One cannot fix one's own faults without help,idiom
Dabili mi na ʒi n-kpalim be ŋun su o yiŋa.,A slave does not remain in the house of his master.,Those without belonging have no permanent place,idiom
Dabisili ti paai wɔbigu ka o ŋuni tutuɣu ni.,A day will come when the elephant hides under a bush.,Even the mighty may need to hide,idiom
Dahin yini tii bi kabiri waliga gbali.,One day's race cannot break an antelope's leg.,Achievements take time,idiom
Dako' viɛliga kpe daa ni ka paɣanim' jɛri suya.,A handsome bachelor enters the market and husbands become angry.,Attractive newcomers threaten the established order,idiom
Dam be duu yɛlli mi beni.,There is pito in the room trouble is also there.,Pleasure comes with its own problems,idiom
Di chani a ʒiʒiinikpee yiŋa waawaayili di yi pa lala o nyee ni ti nyɔni a.,Don't go to your neighbour's house too often or he will become weary of you.,Familiarity breeds contempt,idiom
Di niŋ nira yi doli nira o tɔna gbahirila palɔya.,If unlucky man follows lucky man his traps catch only toads.,Luck cannot be transferred by association,idiom
Di yi ti niŋ ka paɣipuulana yaaŋa biɛra di wuhiya ni bia maa zoorimi maa.,If a pregnant woman has backache it shows the baby is growing.,Discomfort can signal progress,idiom
Din be gariŋga zuɣu ni dina m-be lɛkakuli kpali ni.,What is on the night adder's head is also on the axe's backside.,Different things may share hidden similarities,idiom
Din du zuɣusaa ku biɛla tiŋa.,What goes up will not be small on earth.,What rises high will impact below,idiom
Din nyɛ saɣiri ku lahi leei din yɛn niŋ kasi.,What is dirty cannot become clean again.,Some stains are permanent,idiom
Doo bi nya o to n-yɛli ka di bara ka o ti nya o to n-taɣi zilinli.,When a man's opponent is absent he talks proudly; when he sees him he changes.,People boast in absence but moderate face to face,idiom
Duŋ bi waara.,Enmity never dies.,Conflicts can last forever,idiom
Faralana ka sima faralana ka dima.,A poor person has no friend; a poor person has no enemy.,Poverty isolates you,idiom
Fɔŋbia puli kpuŋ sama yuɣiyuɣi.,The town person's stomach is full of debts.,Urban life brings financial obligations,idiom
Gbɛɣu yi ti laɣim ni jɛɣu bɛ ni yɛli ni bɛ bala.,When forehead meets eyebrow they will say they are related.,Close associates are assumed to be related,idiom
Gbina n-yi chɛ ka doo boli paɣa dooni amaa di nyaaŋa ŋun yɛla bi lan tɛhir' o.,The buttocks made a man invite a woman to sleep but he doesn't care for her needs.,Physical desire may not ensure lasting care,idiom
Gbinzɛri yi chaŋ Naawuni sani o bi saɣira.,If a cripple goes to God he is not refused.,God does not discriminate,idiom
Gbulli ni kuni ka bɛ booni li la noli.,When the penis enters they call it the mouth.,Things are named differently than described,idiom
Gbulli yi ti yi o ni kuli bɔri la di zaashee.,When the penis comes out it seeks its place.,Everything seeks its proper place,idiom
Gbulli yi yi na o dɔɣirila o ma.,When the penis comes out it gives birth to its mother.,The child's birth redefines the mother,idiom
Gbulli yi yi na o doli la o ma.,When the penis comes out it follows its mother.,The child follows mother's guidance,idiom
Gbulli yi yi na o laɣinda la o ma.,When the penis comes out it gathers with its mother.,New life is connected to its origin,idiom
Gbulli yi yi na o mi o ma.,When the penis comes out it knows its mother.,The child instinctively knows its mother,idiom
